name,discriminator,properties,opacity,receivesLight,insubstantial,resource,tileEntity,tileEntityId,treeRelated,vegetation,blockLight,natural,watery,colour,horizontal_orientation_schemes,vertical_orientation_scheme
conquest:worn_dark_lime_mortar_masonry,,,15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_small_arch,,"direction:e[northsouth;eastwest],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_small_arch_half,,"facing:e[north;south;west;east],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_two_meter_arch,,"facing:e[north;south;west;east],type:e[top;bottom]",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_two_meter_arch_half,,"facing:e[north;south;west;east],hinge:e[left;right],type:e[top;bottom],waterlogged:b,wp_compat:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_arrowslit,,"facing:e[north;south;west;east],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_small_window,,"down:b,up:b,waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_small_window_half,,"down:b,facing:e[north;south;west;east],up:b,waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_balustrade,,"axis:e[x;y;z],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_capital,,"facing:e[flat;north;south;east;west],type:e[top;bottom],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_sphere,,"type:e[egg;small;large],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_slab,,"layers:i[1-8],type:e[top;bottom],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_quarter_slab,,"facing:e[north;south;west;east],layer:i[1-3],type:e[top;bottom],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_corner_slab,,"facing:e[north;south;west;east],type:e[top;bottom],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_eighth_slab,,"facing:e[north;south;west;east],type:e[top;bottom],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_vertical_corner_slab,,"facing:e[north;south;west;east],hinge:e[left;right],type:e[top;bottom],waterlogged:b,wp_compat:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_vertical_slab,,"extension_toggle:b,facing:e[north;south;west;east],layer:i[1-4],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_vertical_corner,,"extension_toggle:b,facing:e[north;south;west;east],layer:i[1-4],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,facing_asym,
conquest:worn_dark_lime_mortar_masonry_vertical_quarter,,"extension_toggle:b,facing:e[north;south;west;east],layer:i[1-4],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,facing_asym,
conquest:worn_dark_lime_mortar_masonry_stairs,,"facing:e[north;south;west;east],half:e[top;bottom],shape:e[straight;inner_left;inner_right;outer_left;outer_right],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_wall,,"east:e[false;low;true],north:e[false;low;true],south:e[false;low;true],up:b,waterlogged:b,west:e[false;low;true]",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:worn_dark_lime_mortar_masonry_pillar,,"layer:i[1-3],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry,,,15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_small_arch,,"direction:e[northsouth;eastwest],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_small_arch_half,,"facing:e[north;south;west;east],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_two_meter_arch,,"facing:e[north;south;west;east],type:e[top;bottom]",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_two_meter_arch_half,,"facing:e[north;south;west;east],hinge:e[left;right],type:e[top;bottom],waterlogged:b,wp_compat:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_arrowslit,,"facing:e[north;south;west;east],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_small_window,,"down:b,up:b,waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_small_window_half,,"down:b,facing:e[north;south;west;east],up:b,waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_balustrade,,"axis:e[x;y;z],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_capital,,"facing:e[flat;north;south;east;west],type:e[top;bottom],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_sphere,,"type:e[egg;small;large],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_slab,,"layers:i[1-8],type:e[top;bottom],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
conquest:dark_lime_mortar_masonry_quarter_slab,,"facing:e[north;south;west;east],layer:i[1-3],type:e[top;bottom],waterlogged:b",15,false,false,false,false,false,false,false,0,true,false,7368816,,
